order_item_id,order_id,line_number,sku,quantity,unit_price,discount_amount,tax_amount,extended_amount,item_status
ITEM0000001,ORD000001,1,SKU0117,1,305.11,0.0,26.41,331.52,fulfilled
ITEM0000002,ORD000001,2,SKU0167,2,31.16,3.12,6.0,65.2,fulfilled
ITEM0000003,ORD000002,1,SKU0156,1,101.87,10.19,8.03,99.71,fulfilled
ITEM0000004,ORD000002,2,SKU0023,1,697.85,0.0,59.68,757.53,fulfilled
ITEM0000005,ORD000003,1,SKU0193,2,249.97,40.0,36.82,496.76,fulfilled
ITEM0000006,ORD000004,1,SKU0080,1,37.26,0.0,3.28,40.54,fulfilled
ITEM0000007,ORD000005,1,SKU0062,1,1924.48,0.0,163.07,2087.55,fulfilled
ITEM0000008,ORD000006,1,SKU0042,2,32.19,0.0,6.01,70.39,fulfilled
ITEM0000009,ORD000007,1,SKU0138,1,1391.91,0.0,101.96,1493.87,fulfilled
ITEM0000010,ORD000008,1,SKU0097,3,151.39,22.71,44.88,476.34,fulfilled
ITEM0000011,ORD000009,1,SKU0020,1,110.15,8.81,8.84,110.18,fulfilled
ITEM0000012,ORD000010,1,SKU0007,2,27.59,2.76,5.47,57.89,fulfilled
ITEM0000013,ORD000010,2,SKU0096,3,30.7,0.0,7.74,99.84,fulfilled
ITEM0000014,ORD000011,1,SKU0146,1,1236.49,123.65,95.84,1208.68,fulfilled
ITEM0000015,ORD000011,2,SKU0154,3,85.6,0.0,22.25,279.05,fulfilled
ITEM0000016,ORD000012,1,SKU0075,1,148.57,7.43,10.53,151.67,fulfilled
ITEM0000017,ORD000012,2,SKU0051,1,887.81,0.0,74.44,962.25,fulfilled
ITEM0000018,ORD000012,3,SKU0017,3,305.9,0.0,69.98,987.68,fulfilled
ITEM0000019,ORD000012,4,SKU0189,1,285.6,14.28,22.87,294.19,fulfilled
ITEM0000020,ORD000013,1,SKU0076,2,37.89,6.06,4.95,74.67,fulfilled
ITEM0000021,ORD000013,2,SKU0043,1,894.53,44.73,77.92,927.72,fulfilled
ITEM0000022,ORD000014,1,SKU0194,1,132.03,0.0,9.27,141.3,fulfilled
ITEM0000023,ORD000015,1,SKU0010,1,96.17,0.0,7.62,103.79,fulfilled
ITEM0000024,ORD000015,2,SKU0187,3,257.74,0.0,66.53,839.75,fulfilled
ITEM0000025,ORD000016,1,SKU0017,2,286.98,0.0,52.6,626.56,fulfilled
ITEM0000026,ORD000016,2,SKU0109,1,1097.19,87.78,76.17,1085.58,fulfilled
ITEM0000027,ORD000017,1,SKU0079,1,2290.03,114.5,171.17,2346.7,fulfilled
ITEM0000028,ORD000018,1,SKU0003,3,121.42,36.43,30.32,358.15,fulfilled
ITEM0000029,ORD000019,1,SKU0071,3,230.16,0.0,62.13,752.61,fulfilled
ITEM0000030,ORD000020,1,SKU0168,1,1535.23,153.52,107.12,1488.83,fulfilled
ITEM0000031,ORD000021,1,SKU0117,1,323.91,0.0,29.18,353.09,fulfilled
ITEM0000032,ORD000021,2,SKU0152,2,113.54,11.35,19.23,234.96,fulfilled
ITEM0000033,ORD000021,3,SKU0101,1,994.74,49.74,93.18,1038.18,fulfilled
ITEM0000034,ORD000022,1,SKU0153,1,2006.17,0.0,197.85,2204.02,fulfilled
ITEM0000035,ORD000022,2,SKU0140,3,119.44,0.0,26.0,384.32,fulfilled
ITEM0000036,ORD000023,1,SKU0175,1,1437.07,0.0,142.55,1579.62,fulfilled
ITEM0000037,ORD000023,2,SKU0038,2,85.9,17.18,14.83,169.45,fulfilled
ITEM0000038,ORD000023,3,SKU0059,1,329.54,0.0,28.13,357.67,fulfilled
ITEM0000039,ORD000024,1,SKU0138,1,1193.41,0.0,89.4,1282.81,fulfilled
ITEM0000040,ORD000025,1,SKU0005,1,122.24,0.0,10.54,132.78,fulfilled
ITEM0000041,ORD000026,1,SKU0088,1,837.8,0.0,75.63,913.43,fulfilled
ITEM0000042,ORD000027,1,SKU0035,1,468.22,0.0,43.3,511.52,fulfilled
ITEM0000043,ORD000028,1,SKU0098,2,111.74,0.0,16.03,239.51,fulfilled
ITEM0000044,ORD000029,1,SKU0022,3,32.03,0.0,9.32,105.41,fulfilled
ITEM0000045,ORD000030,1,SKU0203,2,36.8,5.89,5.94,73.65,fulfilled
ITEM0000046,ORD000031,1,SKU0013,1,331.17,0.0,30.68,361.85,fulfilled
ITEM0000047,ORD000031,2,SKU0128,1,835.31,41.77,79.53,873.07,fulfilled
ITEM0000048,ORD000032,1,SKU0160,1,705.58,70.56,62.58,697.6,fulfilled
ITEM0000049,ORD000032,2,SKU0196,1,389.85,0.0,32.09,421.94,fulfilled
ITEM0000050,ORD000033,1,SKU0214,2,45.38,0.0,9.28,100.04,fulfilled
ITEM0000051,ORD000034,1,SKU0029,1,1482.81,0.0,123.01,1605.82,fulfilled
ITEM0000052,ORD000034,2,SKU0091,1,2124.87,106.24,166.53,2185.16,fulfilled
ITEM0000053,ORD000035,1,SKU0198,1,421.63,33.73,30.9,418.8,fulfilled
ITEM0000054,ORD000035,2,SKU0057,1,274.47,21.96,22.96,275.47,fulfilled
ITEM0000055,ORD000036,1,SKU0035,1,464.79,0.0,34.09,498.88,fulfilled
ITEM0000056,ORD000037,1,SKU0097,1,135.86,10.87,12.45,137.44,fulfilled
ITEM0000057,ORD000037,2,SKU0094,1,15.32,0.0,1.09,16.41,fulfilled
ITEM0000058,ORD000038,1,SKU0203,2,39.4,0.0,8.04,86.84,fulfilled
ITEM0000059,ORD000038,2,SKU0094,3,16.55,2.48,3.46,50.63,fulfilled
ITEM0000060,ORD000039,1,SKU0211,1,146.18,14.62,11.21,142.77,fulfilled
ITEM0000061,ORD000040,1,SKU0161,1,679.76,0.0,68.57,748.33,fulfilled
ITEM0000062,ORD000041,1,SKU0108,1,1798.24,0.0,173.77,1972.01,fulfilled
ITEM0000063,ORD000041,2,SKU0091,1,2410.83,0.0,215.57,2626.4,fulfilled
ITEM0000064,ORD000041,3,SKU0190,1,179.3,8.97,17.86,188.19,fulfilled
ITEM0000065,ORD000042,1,SKU0121,3,125.32,18.8,28.6,385.76,fulfilled
ITEM0000066,ORD000043,1,SKU0013,1,357.72,0.0,31.04,388.76,fulfilled
ITEM0000067,ORD000044,1,SKU0052,3,48.34,7.25,11.4,149.17,fulfilled
ITEM0000068,ORD000045,1,SKU0163,1,1037.17,0.0,87.53,1124.7,fulfilled
ITEM0000069,ORD000045,2,SKU0197,1,283.41,28.34,24.45,279.52,fulfilled
ITEM0000070,ORD000046,1,SKU0078,1,313.23,0.0,31.89,345.12,fulfilled
ITEM0000071,ORD000046,2,SKU0169,1,120.82,0.0,10.06,130.88,fulfilled
ITEM0000072,ORD000046,3,SKU0096,3,26.38,7.91,5.89,77.12,fulfilled
ITEM0000073,ORD000046,4,SKU0193,3,241.32,0.0,62.01,785.97,fulfilled
ITEM0000074,ORD000047,1,SKU0061,1,380.46,0.0,27.32,407.78,fulfilled
ITEM0000075,ORD000048,1,SKU0138,1,1205.95,0.0,120.78,1326.73,fulfilled
ITEM0000076,ORD000049,1,SKU0131,2,58.31,0.0,10.72,127.34,fulfilled
ITEM0000077,ORD000050,1,SKU0186,1,649.29,32.46,43.33,660.16,fulfilled
ITEM0000078,ORD000051,1,SKU0099,3,32.17,0.0,9.96,106.47,fulfilled
ITEM0000079,ORD000052,1,SKU0111,1,1357.54,0.0,140.49,1498.03,fulfilled
ITEM0000080,ORD000053,1,SKU0056,1,1748.27,0.0,141.56,1889.83,fulfilled
ITEM0000081,ORD000054,1,SKU0144,2,189.65,0.0,37.05,416.35,fulfilled
ITEM0000082,ORD000055,1,SKU0183,1,245.51,19.64,18.05,243.92,fulfilled
ITEM0000083,ORD000056,1,SKU0086,1,75.1,0.0,5.83,80.93,fulfilled
ITEM0000084,ORD000056,2,SKU0085,1,91.01,0.0,7.61,98.62,fulfilled
ITEM0000085,ORD000057,1,SKU0149,3,78.1,11.71,21.58,244.17,fulfilled
ITEM0000086,ORD000057,2,SKU0117,1,318.42,0.0,22.75,341.17,fulfilled
ITEM0000087,ORD000058,1,SKU0039,1,1158.15,92.65,107.27,1172.77,fulfilled
ITEM0000088,ORD000059,1,SKU0018,5,51.81,12.95,25.43,271.53,fulfilled
ITEM0000089,ORD000060,1,SKU0174,3,110.52,0.0,24.16,355.72,fulfilled
ITEM0000090,ORD000061,1,SKU0079,1,2149.71,214.97,149.6,2084.34,fulfilled
ITEM0000091,ORD000061,2,SKU0029,1,1437.37,143.74,99.2,1392.83,fulfilled
ITEM0000092,ORD000062,1,SKU0067,1,1432.36,0.0,138.32,1570.68,fulfilled
ITEM0000093,ORD000063,1,SKU0141,1,351.46,0.0,29.85,381.31,fulfilled
ITEM0000094,ORD000064,1,SKU0052,3,54.2,0.0,13.92,176.52,fulfilled
ITEM0000095,ORD000065,1,SKU0126,1,32.23,0.0,3.2,35.43,fulfilled
ITEM0000096,ORD000066,1,SKU0006,2,36.9,5.9,6.67,74.57,fulfilled
ITEM0000097,ORD000067,1,SKU0033,3,12.71,0.0,3.02,41.15,fulfilled
ITEM0000098,ORD000068,1,SKU0175,1,1431.17,0.0,122.96,1554.13,fulfilled
ITEM0000099,ORD000068,2,SKU0111,1,1344.37,134.44,96.43,1306.36,fulfilled
ITEM0000100,ORD000069,1,SKU0177,1,87.89,8.79,6.6,85.7,fulfilled
ITEM0000101,ORD000070,1,SKU0163,1,1029.49,51.47,81.74,1059.76,fulfilled
ITEM0000102,ORD000071,1,SKU0040,1,90.53,9.05,7.37,88.85,fulfilled
ITEM0000103,ORD000072,1,SKU0148,3,129.96,0.0,28.21,418.09,fulfilled
ITEM0000104,ORD000072,2,SKU0008,1,40.67,2.03,2.87,41.51,fulfilled
ITEM0000105,ORD000072,3,SKU0112,1,1540.58,154.06,114.96,1501.48,fulfilled
ITEM0000106,ORD000072,4,SKU0155,3,131.34,0.0,38.43,432.45,fulfilled
ITEM0000107,ORD000073,1,SKU0183,2,277.08,0.0,44.89,599.05,fulfilled
ITEM0000108,ORD000074,1,SKU0105,1,305.88,0.0,25.19,331.07,fulfilled
ITEM0000109,ORD000074,2,SKU0186,1,692.92,34.65,49.9,708.17,fulfilled
ITEM0000110,ORD000074,3,SKU0179,1,1169.79,93.58,102.12,1178.33,fulfilled
ITEM0000111,ORD000075,1,SKU0185,1,82.38,0.0,8.07,90.45,fulfilled
ITEM0000112,ORD000076,1,SKU0151,1,460.1,0.0,37.49,497.59,fulfilled
ITEM0000113,ORD000077,1,SKU0096,2,27.96,0.0,5.73,61.65,fulfilled
ITEM0000114,ORD000077,2,SKU0133,1,28.75,0.0,2.45,31.2,fulfilled
ITEM0000115,ORD000077,3,SKU0021,1,1385.76,0.0,126.62,1512.38,fulfilled
ITEM0000116,ORD000078,1,SKU0153,1,2202.34,0.0,218.28,2420.62,fulfilled
ITEM0000117,ORD000079,1,SKU0070,3,88.84,0.0,25.36,291.88,fulfilled
ITEM0000118,ORD000080,1,SKU0007,1,29.02,2.9,1.84,27.96,fulfilled
ITEM0000119,ORD000080,2,SKU0045,3,79.67,0.0,17.61,256.62,fulfilled
ITEM0000120,ORD000081,1,SKU0121,2,117.08,0.0,19.64,253.8,fulfilled
ITEM0000121,ORD000082,1,SKU0026,3,121.64,0.0,27.81,392.73,fulfilled
ITEM0000122,ORD000082,2,SKU0174,3,105.47,0.0,23.03,339.44,fulfilled
