sku,brand,category,subcategory,product_name,standard_cost,list_price,weight_lb,is_active
SKU0001,Anker,Component,Memory,Anker Memory 0001,167,221.41,1.16,True
SKU0002,Lenovo,Monitor,27-inch,Lenovo 27-inch 0002,94,119.37,15.97,True
SKU0003,Dell,Accessory,Mouse,Dell Mouse 0003,100,113.8,1.96,True
SKU0004,Acer,Accessory,Mouse,Acer Mouse 0004,64,78.42,1.82,True
SKU0005,Samsung,Accessory,Mouse,Samsung Mouse 0005,111,139.2,1.5,True
SKU0006,Logitech,Accessory,Webcam,Logitech Webcam 0006,32,38.03,0.95,True
SKU0007,Anker,Component,Memory,Anker Memory 0007,25,28.94,1.52,True
SKU0008,HP,Component,SSD,HP SSD 0008,33,37.22,0.6,True
SKU0009,ASUS,Component,Memory,ASUS Memory 0009,133,173.96,1.36,True
SKU0010,Anker,Accessory,Webcam,Anker Webcam 0010,82,95.16,1.85,True
SKU0011,Acer,Component,Power Adapter,Acer Power Adapter 0011,78,106.19,0.68,True
SKU0012,Acer,Monitor,34-inch,Acer 34-inch 0012,363,506.98,10.94,True
SKU0013,Samsung,Monitor,24-inch,Samsung 24-inch 0013,300,371.53,14.45,True
SKU0014,ASUS,Component,Power Adapter,ASUS Power Adapter 0014,197,261.1,0.88,True
SKU0015,Acer,Monitor,27-inch,Acer 27-inch 0015,416,522.43,11.14,True
SKU0016,HP,Laptop,Gaming,HP Gaming 0016,997,1247.77,2.24,True
SKU0017,Anker,Component,Memory,Anker Memory 0017,212,297.96,0.99,True
SKU0018,Dell,Accessory,Webcam,Dell Webcam 0018,43,58.11,0.29,True
SKU0019,Logitech,Monitor,Portable,Logitech Portable 0019,255,341.31,11.92,True
SKU0020,ASUS,Accessory,Dock,ASUS Dock 0020,93,113.21,0.54,True
SKU0021,Lenovo,Laptop,Chromebook,Lenovo Chromebook 0021,1180,1498.57,5.36,True
SKU0022,Lenovo,Accessory,Bag,Lenovo Bag 0022,28,33.31,2.32,True
SKU0023,Logitech,Monitor,24-inch,Logitech 24-inch 0023,460,639.22,10.41,True
SKU0024,Samsung,Monitor,34-inch,Samsung 34-inch 0024,230,320.7,5.43,True
SKU0025,Dell,Accessory,Webcam,Dell Webcam 0025,105,145.41,1.94,True
SKU0026,Anker,Component,SSD,Anker SSD 0026,92,111.94,0.23,True
SKU0027,Dell,Monitor,27-inch,Dell 27-inch 0027,144,165.55,15.79,True
SKU0028,Samsung,Accessory,Dock,Samsung Dock 0028,103,115.76,2.8,True
SKU0029,Logitech,Laptop,Business,Logitech Business 0029,1175,1409.7,2.39,True
SKU0030,ASUS,Laptop,Ultrabook,ASUS Ultrabook 0030,1508,1927.01,3.34,True
SKU0031,Anker,Laptop,Business,Anker Business 0031,1294,1662.78,4.52,True
SKU0032,Samsung,Accessory,Headset,Samsung Headset 0032,109,136.16,1.78,True
SKU0033,Anker,Accessory,Mouse,Anker Mouse 0033,12,13.56,0.58,True
SKU0034,Samsung,Monitor,27-inch,Samsung 27-inch 0034,443,618.31,12.2,True
SKU0035,Acer,Monitor,27-inch,Acer 27-inch 0035,388,464.39,12.2,True
SKU0036,Lenovo,Accessory,Webcam,Lenovo Webcam 0036,101,137.95,0.3,True
SKU0037,Samsung,Laptop,Business,Samsung Business 0037,1309,1555.11,5.2,True
SKU0038,Dell,Accessory,Headset,Dell Headset 0038,84,102.32,2.09,False
SKU0039,Logitech,Laptop,Gaming,Logitech Gaming 0039,1013,1236.72,4.39,True
SKU0040,Lenovo,Component,Power Adapter,Lenovo Power Adapter 0040,70,88.65,1.5,True
SKU0041,Logitech,Laptop,Business,Logitech Business 0041,1082,1248.37,4.1,True
SKU0042,Samsung,Accessory,Keyboard,Samsung Keyboard 0042,30,34.0,1.25,True
SKU0043,ASUS,Laptop,Ultrabook,ASUS Ultrabook 0043,722,958.92,2.71,True
SKU0044,Anker,Monitor,34-inch,Anker 34-inch 0044,445,500.85,13.46,True
SKU0045,Anker,Accessory,Dock,Anker Dock 0045,61,73.28,2.62,True
SKU0046,Logitech,Component,SSD,Logitech SSD 0046,100,126.54,1.94,True
SKU0047,ASUS,Laptop,Ultrabook,ASUS Ultrabook 0047,1504,1861.98,2.92,True
SKU0048,Acer,Accessory,Dock,Acer Dock 0048,83,98.58,0.58,True
SKU0049,ASUS,Monitor,Portable,ASUS Portable 0049,168,234.01,11.82,True
SKU0050,Acer,Monitor,27-inch,Acer 27-inch 0050,159,185.0,16.88,True
SKU0051,Samsung,Laptop,Gaming,Samsung Gaming 0051,718,872.81,6.68,True
SKU0052,ASUS,Accessory,Keyboard,ASUS Keyboard 0052,35,47.21,1.79,True
SKU0053,HP,Laptop,Business,HP Business 0053,1396,1759.84,5.19,True
SKU0054,Logitech,Monitor,24-inch,Logitech 24-inch 0054,228,306.14,14.73,False
SKU0055,Samsung,Component,Power Adapter,Samsung Power Adapter 0055,123,166.4,0.85,True
SKU0056,Anker,Laptop,Ultrabook,Anker Ultrabook 0056,1355,1736.24,6.73,True
SKU0057,Anker,Monitor,34-inch,Anker 34-inch 0057,245,308.31,12.78,True
SKU0058,HP,Component,SSD,HP SSD 0058,159,184.53,1.22,True
SKU0059,HP,Monitor,Portable,HP Portable 0059,255,355.0,14.2,True
SKU0060,Logitech,Accessory,Dock,Logitech Dock 0060,32,41.12,1.14,True
SKU0061,Lenovo,Monitor,27-inch,Lenovo 27-inch 0061,304,407.07,8.4,True
SKU0062,Dell,Laptop,Business,Dell Business 0062,1359,1851.28,5.0,True
SKU0063,Dell,Component,SSD,Dell SSD 0063,178,232.93,0.2,True
SKU0064,Acer,Monitor,24-inch,Acer 24-inch 0064,134,166.84,13.57,True
SKU0065,Samsung,Monitor,Portable,Samsung Portable 0065,137,166.71,15.57,True
SKU0066,HP,Component,SSD,HP SSD 0066,125,159.67,1.49,True
SKU0067,Acer,Laptop,Chromebook,Acer Chromebook 0067,1294,1550.08,4.85,True
SKU0068,Lenovo,Component,Memory,Lenovo Memory 0068,69,77.31,1.71,True
SKU0069,Dell,Component,Memory,Dell Memory 0069,183,216.62,0.23,True
SKU0070,HP,Accessory,Dock,HP Dock 0070,62,80.02,0.74,True
SKU0071,Dell,Component,Memory,Dell Memory 0071,180,226.47,1.65,True
SKU0072,Samsung,Laptop,Business,Samsung Business 0072,1557,2013.54,3.73,True
SKU0073,Logitech,Laptop,Business,Logitech Business 0073,1514,1872.62,4.94,True
SKU0074,Logitech,Laptop,Business,Logitech Business 0074,597,749.58,6.57,True
SKU0075,Anker,Monitor,24-inch,Anker 24-inch 0075,102,141.93,9.09,True
SKU0076,HP,Accessory,Keyboard,HP Keyboard 0076,28,37.45,1.66,True
SKU0077,Anker,Laptop,Business,Anker Business 0077,514,677.3,3.64,True
SKU0078,Acer,Monitor,34-inch,Acer 34-inch 0078,253,334.3,6.63,True
SKU0079,Samsung,Laptop,Gaming,Samsung Gaming 0079,1545,2167.61,5.9,True
SKU0080,Lenovo,Component,SSD,Lenovo SSD 0080,32,36.86,1.23,True
SKU0081,Samsung,Component,Power Adapter,Samsung Power Adapter 0081,70,93.37,1.54,True
SKU0082,Anker,Monitor,24-inch,Anker 24-inch 0082,323,424.2,10.85,True
SKU0083,Logitech,Accessory,Mouse,Logitech Mouse 0083,97,131.59,0.28,True
SKU0084,Acer,Component,SSD,Acer SSD 0084,52,66.16,1.16,True
SKU0085,Anker,Accessory,Headset,Anker Headset 0085,64,83.6,1.27,True
SKU0086,Samsung,Component,Memory,Samsung Memory 0086,64,84.4,1.02,True
SKU0087,HP,Component,Memory,HP Memory 0087,123,140.33,0.82,True
SKU0088,ASUS,Laptop,Ultrabook,ASUS Ultrabook 0088,704,959.52,5.68,True
SKU0089,ASUS,Component,SSD,ASUS SSD 0089,193,233.79,0.75,True
SKU0090,Lenovo,Laptop,Chromebook,Lenovo Chromebook 0090,1022,1441.4,2.2,True
SKU0091,Logitech,Laptop,Gaming,Logitech Gaming 0091,1628,2170.99,4.07,True
SKU0092,Logitech,Component,Memory,Logitech Memory 0092,52,60.33,1.02,True
SKU0093,Lenovo,Monitor,24-inch,Lenovo 24-inch 0093,323,420.33,6.93,True
SKU0094,Lenovo,Accessory,Keyboard,Lenovo Keyboard 0094,12,15.23,0.95,True
SKU0095,Anker,Laptop,Ultrabook,Anker Ultrabook 0095,1174,1653.6,2.57,True
